RowNumber,Loan_ID,CustomerId,Surname,Designation,Education,Self_Employed,CreditScore,Credit_History,Geography,Property_Area,Married,Gender,Age,Tenure,Balance,HasCar,NumOfProducts,HasCrCard,IsActiveMember,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,EstimatedSalary,Exited,Loan_Status,No Customer,LoanAmount
15,LP001030,15600882,Scott,Manager,Graduate,No,635,1,Spain,Urban,Married,Female,35,7,0,Yes,2,Yes,Yes,2,1299,1086,17,65951.65,0,Y,1,873
16,LP001032,15643966,Goforth,Executive,Graduate,No,616,1,Germany,Urban,No,Male,45,3,143129.41,No,2,No,Yes,0,4950,0,125,64327.26,0,Y,1,826
17,LP001034,15737452,Romeo,Executive,Not Graduate,No,653,1,Germany,Urban,No,Male,58,1,132602.88,Yes,Yes,Yes,No,1,3596,0,100,5097.67,1,Y,1,433
18,LP001036,15788218,Henderson,Executive,Graduate,No,549,0,Spain,Urban,No,Female,24,9,0,Yes,2,Yes,Yes,0,3510,0,76,14406.41,0,N,1,156
19,LP001038,15661507,Muldrow,Executive,Not Graduate,No,587,1,Spain,Rural,Divorced,Male,45,6,0,No,Yes,No,No,0,4887,0,133,158684.81,0,N,1,797
20,LP001041,15568982,Hao,Executive,Graduate,No,726,1,France,Urban,Married,Female,24,6,0,Yes,2,Yes,Yes,0,2600,3500,115,54724.03,0,Y,1,166
21,LP001043,15577657,McDonald,Sr Manager,Not Graduate,No,732,0,France,Urban,Married,Male,41,8,0,Yes,2,Yes,Yes,0,7660,0,104,170886.17,0,N,1,834
22,LP001046,15597945,Dellucci,Sr Manager,Graduate,No,636,1,Spain,Urban,Divorced,Female,32,8,0,Yes,2,Yes,No,1,5955,5625,315,138555.46,0,Y,1,468
23,LP001047,15699309,Gerasimov,Executive,Not Graduate,No,510,0,Spain,Semiurban,Divorced,Female,38,4,0,Yes,Yes,Yes,No,0,2600,1911,116,118913.53,1,N,1,477
24,LP001050,15725737,Mosman,Executive,Not Graduate,No,669,0,France,Rural,Divorced,Male,46,3,0,No,2,No,Yes,2,3365,1917,112,8487.75,0,N,1,615
25,LP001052,15625047,Yen,VP,Graduate,No,846,0,France,Semiurban,Divorced,Female,38,5,0,Yes,Yes,Yes,Yes,1,3717,2925,151,187616.16,0,N,1,513
26,LP001066,15738191,Maclean,Manager,Graduate,Yes,577,1,France,Semiurban,Divorced,Male,25,3,0,No,2,No,Yes,0,9560,0,191,124508.29,0,Y,1,697
27,LP001068,15736816,Young,VP,Graduate,No,756,1,Germany,Semiurban,Married,Male,36,2,136815.64,Yes,Yes,Yes,Yes,0,2799,2253,122,170041.95,0,Y,1,840
28,LP001073,15700772,Nebechi,Executive,Not Graduate,No,571,1,France,Urban,Divorced,Male,44,9,0,No,2,No,No,2,4226,1040,110,38433.35,0,Y,1,922
29,LP001086,15728693,McWilliams,Executive,Not Graduate,No,574,1,Germany,Urban,No,Female,43,3,141349.43,Yes,Yes,Yes,Yes,0,1442,0,35,100187.43,0,N,1,720
30,LP001087,15656300,Lucciano,Executive,Graduate,No,411,1,France,Semiurban,No,Male,29,0,59697.17,Yes,2,Yes,Yes,2,3750,2083,120,53483.21,0,Y,1,352
31,LP001091,15589475,Azikiwe,AVP,Graduate,No,591,1,Spain,Urban,Divorced,Female,39,3,0,Yes,3,Yes,No,1,4166,3369,201,140469.38,1,N,1,805
32,LP001095,15706552,Odinakachukwu,Sr Manager,Graduate,No,533,1,France,Urban,No,Male,36,7,85311.7,No,Yes,No,Yes,0,3167,0,74,156731.91,0,N,1,816
33,LP001097,15750181,Sanderson,Manager,Graduate,Yes,553,1,Germany,Rural,No,Male,41,9,110112.54,No,2,No,No,1,4692,0,106,81898.81,0,N,1,135
34,LP001098,15659428,Maggard,Executive,Graduate,No,520,1,Spain,Semiurban,Divorced,Female,42,6,0,Yes,2,Yes,Yes,0,3500,1667,114,34410.55,0,Y,1,890
35,LP001100,15732963,Clements,Executive,Graduate,No,722,1,Spain,Rural,No,Female,29,9,0,Yes,2,Yes,Yes,3+,12500,3000,320,142033.07,0,N,1,111
36,LP001106,15794171,Lombardo,VP,Graduate,No,475,1,France,Urban,Divorced,Female,45,0,134264.04,Yes,Yes,Yes,No,0,2275,2067,,27822.99,1,Y,1,358
37,LP001109,15788448,Watson,Executive,Graduate,No,490,0,Spain,Urban,Married,Male,31,3,145260.23,No,Yes,No,Yes,0,1828,1330,100,114066.77,0,N,1,673
38,LP001112,15729599,Lorenzo,Executive,Graduate,No,804,1,Spain,Semiurban,Married,Male,33,7,76548.6,No,Yes,No,Yes,0,3667,1459,144,98453.45,0,Y,1,477
39,LP001114,15717426,Armstrong,Manager,Graduate,No,850,1,France,Urban,No,Male,36,7,0,Yes,Yes,Yes,Yes,0,4166,7210,184,40812.9,0,Y,1,323
40,LP001116,15585768,Cameron,Executive,Not Graduate,No,582,1,Germany,Semiurban,No,Male,41,6,70349.48,No,2,No,Yes,0,3748,1668,110,178074.04,0,Y,1,535
41,LP001119,15619360,Hsiao,Executive,Graduate,No,472,1,Spain,Urban,No,Male,40,4,0,Yes,Yes,Yes,No,0,3600,0,80,70154.22,0,N,1,801
42,LP001120,15738148,Clarke,Executive,Graduate,No,465,1,France,Urban,No,Female,51,8,122522.32,No,Yes,No,No,0,1800,1213,47,181297.65,1,Y,1,585
43,LP001123,15687946,Osborne,Executive,Graduate,No,556,1,France,Urban,Divorced,Female,61,2,117419.35,Yes,Yes,Yes,Yes,0,2400,0,75,94153.83,0,Y,1,297
44,LP001131,15755196,Lavine,Manager,Graduate,No,834,1,France,Semiurban,Divorced,Female,49,2,131394.56,No,Yes,No,No,0,3941,2336,134,194365.76,1,Y,1,588
45,LP001136,15684171,Bianchi,Manager,Not Graduate,Yes,660,1,Spain,Urban,Divorced,Female,61,5,155931.11,Yes,Yes,Yes,Yes,0,4695,0,96,158338.39,0,Y,1,576
46,LP001137,15754849,Tyler,Sr Manager,Graduate,No,776,1,Germany,Urban,No,Female,32,4,109421.13,Yes,2,Yes,Yes,0,3410,0,88,126517.46,0,Y,1,613
47,LP001138,15602280,Martin,Manager,Graduate,No,829,1,Germany,Urban,Married,Female,27,9,112045.67,Yes,Yes,Yes,Yes,1,5649,0,44,119708.21,1,Y,1,968
48,LP001144,15771573,Okagbue,VP,Graduate,No,637,1,Germany,Urban,Divorced,Female,39,9,137843.8,Yes,Yes,Yes,Yes,0,5821,0,144,117622.8,1,Y,1,361
49,LP001146,15766205,Yin,Sr Manager,Graduate,No,550,0,Germany,Urban,Divorced,Male,38,2,103391.38,No,Yes,No,Yes,0,2645,3440,120,90878.13,0,N,1,799
50,LP001151,15771873,Buccho,Executive,Graduate,No,776,1,Germany,Semiurban,No,Female,37,2,103769.22,Yes,2,Yes,No,0,4000,2275,144,194099.12,0,Y,1,369
51,LP001155,15616550,Chidiebele,Executive,Not Graduate,No,698,1,Germany,Semiurban,Divorced,Male,44,10,116363.37,Yes,2,Yes,No,0,1928,1644,100,198059.16,0,Y,1,408
52,LP001157,15768193,Trevisani,Executive,Graduate,No,585,1,Germany,Semiurban,No,Male,36,5,146050.97,No,2,No,No,0,3086,0,120,86424.57,0,Y,1,180
53,LP001164,15683553,O'Brien,AVP,Graduate,No,788,1,France,Semiurban,No,Female,33,5,0,No,2,No,No,0,4230,0,112,116978.19,0,N,1,130
54,LP001179,15702298,Parkhill,Manager,Graduate,No,655,1,Germany,Urban,Divorced,Male,41,8,125561.97,No,Yes,No,No,2,4616,0,134,164040.94,1,N,1,628
55,LP001186,15569590,Yoo,Manager,Graduate,Yes,601,0,Germany,Urban,Married,Male,42,1,98495.72,Yes,Yes,Yes,No,1,11500,0,286,40014.76,1,N,1,748
56,LP001194,15760861,Phillipps,Manager,Graduate,No,619,1,France,Semiurban,Married,Male,43,1,125211.92,Yes,Yes,Yes,Yes,2,2708,1167,97,113410.49,0,Y,1,459
57,LP001195,15630053,Tsao,Sr Manager,Graduate,No,656,1,France,Semiurban,Divorced,Male,45,5,127864.4,Yes,Yes,Yes,No,0,2132,1591,96,87107.57,0,Y,1,847
58,LP001197,15647091,Endrizzi,Sr Manager,Graduate,No,725,1,Germany,Rural,Married,Male,19,0,75888.2,No,Yes,No,No,0,3366,2200,135,45613.75,0,N,1,152
59,LP001198,15623944,T'ien,Executive,Graduate,No,511,1,Spain,Urban,Married,Female,66,4,0,Yes,Yes,Yes,No,1,8080,2250,180,1643.11,1,Y,1,725
60,LP001199,15804771,Velazquez,Manager,Not Graduate,No,614,1,France,Urban,Married,Male,51,4,40685.92,Yes,Yes,Yes,Yes,2,3357,2859,144,46775.28,0,Y,1,286
61,LP001205,15651280,Hunter,Manager,Graduate,No,742,1,Germany,Urban,Married,Male,35,5,136857,No,Yes,No,No,0,2500,3796,120,84509.57,0,Y,1,920
62,LP001206,15773469,Clark,Manager,Graduate,No,687,1,Germany,Urban,Divorced,Female,27,9,152328.88,No,2,No,No,3+,3029,0,99,126494.82,0,Y,1,120
63,LP001207,15702014,Jeffrey,Manager,Not Graduate,Yes,555,0,Spain,Rural,Divorced,Male,33,1,56084.69,No,2,No,No,0,2609,3449,165,178798.13,0,N,1,291
64,LP001213,15751208,Pirozzi,VP,Graduate,No,684,0,Spain,Rural,Divorced,Male,56,8,78707.16,Yes,Yes,Yes,Yes,1,4945,0,,99398.36,0,N,1,575
65,LP001222,15592461,Jackson,Executive,Graduate,No,603,0,Germany,Semiurban,No,Male,26,4,109166.37,Yes,Yes,Yes,Yes,0,4166,0,116,92840.67,0,N,1,899
66,LP001225,15789484,Hammond,Executive,Graduate,No,751,1,Germany,Semiurban,Divorced,Female,36,6,169831.46,Yes,2,Yes,Yes,0,5726,4595,258,27758.36,0,N,1,155
67,LP001228,15696061,Brownless,Manager,Not Graduate,No,581,0,Germany,Urban,No,Female,34,1,101633.04,Yes,Yes,Yes,No,0,3200,2254,126,110431.51,0,N,1,545
68,LP001233,15641582,Chibugo,Executive,Graduate,No,735,1,Germany,Urban,Divorced,Male,43,10,123180.01,Yes,2,Yes,Yes,1,10750,0,312,196673.28,0,Y,1,646
69,LP001238,15638424,Glauert,Manager,Not Graduate,Yes,661,1,Germany,Urban,Divorced,Female,35,5,150725.53,No,2,No,Yes,3+,7100,0,125,113656.85,0,Y,1,119
70,LP001241,15755648,Pisano,Manager,Graduate,No,675,0,France,Semiurban,No,Female,21,8,98373.26,Yes,Yes,Yes,No,0,4300,0,136,18203,0,N,1,870
71,LP001243,15703793,Konovalova,Manager,Graduate,No,738,1,Germany,Urban,Married,Male,58,2,133745.44,Yes,4,Yes,No,0,3208,3066,172,28373.86,1,Y,1,170
72,LP001245,15620344,McKee,Manager,Not Graduate,Yes,813,1,France,Semiurban,Divorced,Male,29,6,0,Yes,Yes,Yes,No,2,1875,1875,97,33953.87,0,Y,1,125
73,LP001248,15812518,Palermo,Sr Manager,Graduate,No,657,1,Spain,Semiurban,No,Female,37,0,163607.18,No,Yes,No,Yes,0,3500,0,81,44203.55,0,Y,1,817
74,LP001250,15779052,Ballard,AVP,Not Graduate,No,604,0,Germany,Semiurban,Divorced,Female,25,5,157780.84,Yes,2,Yes,Yes,3+,4755,0,95,58426.81,0,N,1,418
75,LP001253,15770811,Wallace,Manager,Graduate,Yes,519,1,France,Semiurban,Married,Male,36,9,0,No,2,No,Yes,3+,5266,1774,187,145562.4,0,Y,1,777
76,LP001255,15780961,Cavenagh,Executive,Graduate,No,735,1,France,Urban,No,Female,21,1,178718.19,Yes,2,Yes,No,0,3750,0,113,22388,0,N,1,169
77,LP001256,15614049,Hu,Executive,Graduate,No,664,1,France,Urban,No,Male,55,8,0,Yes,2,Yes,Yes,0,3750,4750,176,139161.64,0,N,1,469
78,LP001259,15662085,Read,Manager,Graduate,Yes,678,1,France,Urban,Divorced,Female,32,9,0,Yes,Yes,Yes,Yes,1,1000,3022,110,148210.64,0,N,1,391
79,LP001263,15575185,Bushell,Manager,Graduate,No,757,0,Spain,Semiurban,Married,Male,33,5,77253.22,No,Yes,No,Yes,3+,3167,4000,180,194239.63,0,N,1,968
80,LP001264,15803136,Postle,Manager,Not Graduate,Yes,416,0,Germany,Semiurban,Divorced,Female,41,10,122189.66,Yes,2,Yes,No,3+,3333,2166,130,98301.61,0,Y,1,176
81,LP001265,15706021,Buley,VP,Graduate,No,665,1,France,Semiurban,No,Female,34,1,96645.54,No,2,No,No,0,3846,0,111,171413.66,0,Y,1,249
82,LP001266,15663706,Leonard,Manager,Graduate,Yes,777,1,France,Semiurban,Divorced,Female,32,2,0,Yes,Yes,Yes,No,1,2395,0,,136458.19,1,Y,1,434
83,LP001267,15641732,Mills,Executive,Graduate,No,543,1,France,Urban,Divorced,Female,36,3,0,No,2,No,No,2,1378,1881,167,26019.59,0,N,1,856
84,LP001273,15701164,Onyeorulu,VP,Graduate,No,506,1,France,Semiurban,Married,Female,34,4,90307.62,Yes,Yes,Yes,Yes,0,6000,2250,265,159235.29,0,N,1,592
85,LP001275,15738751,Beit,Sr Manager,Graduate,No,493,1,France,Urban,Divorced,Female,46,4,0,Yes,2,Yes,No,1,3988,0,50,1907.66,0,Y,1,623
86,LP001279,15805254,Ndukaku,Executive,Graduate,No,652,1,Spain,Semiurban,No,Female,75,10,0,Yes,2,Yes,Yes,0,2366,2531,136,114675.75,0,Y,1,114
87,LP001280,15762418,Gant,Executive,Not Graduate,No,750,1,Spain,Semiurban,Divorced,Male,22,3,121681.82,Yes,Yes,Yes,No,2,3333,2000,99,128643.35,1,Y,1,704
88,LP001282,15625759,Rowley,Manager,Graduate,No,729,1,France,Semiurban,Divorced,Male,30,9,0,Yes,2,Yes,No,0,2500,2118,104,151869.35,0,Y,1,574
89,LP001289,15622897,Sharpe,Manager,Graduate,No,646,1,France,Urban,No,Female,46,4,0,Yes,3,Yes,No,0,8566,0,210,93251.42,1,Y,1,356
90,LP001310,15767954,Osborne,Executive,Graduate,No,635,1,Germany,Semiurban,Divorced,Female,28,3,81623.67,Yes,2,Yes,Yes,0,5695,4167,175,156791.36,0,Y,1,419
91,LP001316,15757535,Heap,Sr Manager,Graduate,No,647,1,Spain,Semiurban,Divorced,Female,44,5,0,Yes,3,Yes,Yes,0,2958,2900,131,174205.22,1,Y,1,422
92,LP001318,15731511,Ritchie,Sr Manager,Graduate,No,808,1,France,Semiurban,Married,Male,45,7,118626.55,Yes,2,Yes,No,2,6250,5654,188,147132.46,0,Y,1,566
93,LP001319,15809248,Cole,Manager,Not Graduate,No,524,1,France,Urban,Married,Female,36,10,0,Yes,2,Yes,No,2,3273,1820,81,109614.57,0,Y,1,955
94,LP001322,15640635,Capon,Sr Manager,Graduate,No,769,1,France,Semiurban,No,Male,29,8,0,Yes,2,Yes,Yes,0,4133,0,122,172290.61,0,Y,1,806
95,LP001325,15676966,Capon,VP,Not Graduate,No,730,1,Spain,Semiurban,No,Male,42,4,0,No,2,No,Yes,0,3620,0,25,85982.47,0,Y,1,703
96,LP001326,15699461,Fiorentini,Executive,Graduate,No,515,1,Spain,Urban,No,Male,35,10,176273.95,No,Yes,No,Yes,0,6782,0,,121277.78,0,N,1,475
97,LP001327,15738721,Graham,Manager,Graduate,No,773,1,Spain,Semiurban,Divorced,Male,41,9,102827.44,No,Yes,No,Yes,0,2484,2302,137,64595.25,0,Y,1,303
98,LP001333,15693683,Yuille,VP,Graduate,No,814,1,Germany,Semiurban,Divorced,Male,29,8,97086.4,Yes,2,Yes,Yes,0,1977,997,50,197276.13,0,Y,1,187
99,LP001334,15604348,Allard,AVP,Not Graduate,No,710,1,Spain,Semiurban,Divorced,Male,22,8,0,No,2,No,No,0,4188,0,115,99645.04,0,Y,1,835
100,LP001343,15633059,Fanucci,Manager,Graduate,No,413,1,France,Semiurban,Divorced,Male,34,9,0,No,2,No,No,0,1759,3541,131,6534.18,0,Y,1,474
101,LP001345,15808582,Fu,Manager,Not Graduate,No,665,1,France,Urban,Married,Female,40,6,0,Yes,Yes,Yes,Yes,2,4288,3263,133,161848.03,0,Y,1,622
102,LP001349,15743192,Hung,Manager,Graduate,No,623,1,France,Semiurban,No,Female,44,6,0,No,2,No,No,0,4843,3806,151,167162.43,0,Y,1,973
103,LP001350,15580146,Hung,Manager,Graduate,No,738,1,France,Urban,Divorced,Male,31,9,82674.15,Yes,Yes,Yes,No,0,13650,0,,41970.72,0,Y,1,243
104,LP001356,15776605,Bradley,Manager,Graduate,No,528,1,Spain,Semiurban,Married,Male,36,7,0,Yes,2,Yes,No,0,4652,3583,,60536.56,0,Y,1,281
105,LP001357,15804919,Dunbabin,Sr Manager,Graduate,No,670,1,Spain,Urban,Married,Female,65,1,0,Yes,Yes,Yes,Yes,0,3816,754,160,177655.68,1,Y,1,810
106,LP001367,15613854,Mauldon,Executive,Graduate,No,622,1,Spain,Urban,Divorced,Female,46,4,107073.27,Yes,2,Yes,Yes,1,3052,1030,100,30984.59,1,Y,1,791
107,LP001369,15599195,Stiger,Executive,Graduate,No,582,1,Germany,Urban,Married,Male,32,1,88938.62,Yes,Yes,Yes,Yes,2,11417,1126,225,10054.53,0,Y,1,845
108,LP001370,15812878,Parsons,Executive,Not Graduate,No,785,1,Germany,Rural,No,Female,36,2,99806.85,No,Yes,No,Yes,0,7333,0,120,36976.52,0,N,1,978
109,LP001379,15602312,Walkom,Manager,Graduate,No,605,0,Spain,Urban,Divorced,Male,33,5,150092.8,No,Yes,No,No,2,3800,3600,216,71862.79,0,N,1,322
110,LP001384,15744689,T'ang,Executive,Not Graduate,No,479,1,Germany,Semiurban,Divorced,Male,35,9,92833.89,Yes,Yes,Yes,No,3+,2071,754,94,99449.86,1,Y,1,344
111,LP001385,15803526,Eremenko,Manager,Graduate,No,685,1,Germany,Urban,No,Male,30,3,90536.81,No,Yes,No,Yes,0,5316,0,136,63082.88,0,Y,1,703
112,LP001387,15665790,Rowntree,Executive,Graduate,No,538,1,Germany,Semiurban,Divorced,Male,39,7,108055.1,Yes,2,Yes,No,0,2929,2333,139,27231.26,0,Y,1,579
113,LP001391,15715951,Thorpe,VP,Not Graduate,No,562,0,France,Rural,Divorced,Male,42,2,100238.35,No,Yes,No,No,0,3572,4114,152,86797.41,0,N,1,195
114,LP001392,15591100,Chiemela,Manager,Graduate,Yes,675,1,Spain,Semiurban,No,Male,36,9,106190.55,No,Yes,No,Yes,1,7451,0,,22994.32,0,Y,1,153
115,LP001398,15609618,Fanucci,Executive,Graduate,Yes,721,1,Germany,Semiurban,No,Male,28,9,154475.54,No,2,No,Yes,0,5050,0,118,101300.94,1,Y,1,165
116,LP001401,15675522,Ko,Manager,Graduate,No,628,1,Germany,Rural,Divorced,Female,30,9,132351.29,Yes,2,Yes,Yes,1,14583,0,185,74169.13,0,Y,1,334
117,LP001404,15705512,Welch,Executive,Graduate,No,668,1,Germany,Semiurban,Divorced,Female,37,6,167864.4,Yes,Yes,Yes,No,0,3167,2283,154,115638.29,0,Y,1,951
118,LP001405,15698028,Duncan,Manager,Graduate,No,506,1,France,Urban,Divorced,Female,41,1,0,Yes,2,Yes,No,1,2214,1398,85,31766.3,0,Y,1,424
119,LP001421,15661670,Chidozie,Executive,Graduate,No,524,1,Germany,Rural,Divorced,Female,31,8,107818.63,Yes,Yes,Yes,No,0,5568,2142,175,199725.39,1,N,1,996
120,LP001422,15600781,Wu,Executive,Graduate,No,699,1,Germany,Urban,No,Male,34,4,185173.81,Yes,2,Yes,No,0,10408,0,259,120834.48,0,Y,1,750
121,LP001426,15682472,Culbreth,AVP,Graduate,No,828,1,France,Rural,Married,Male,34,8,129433.34,No,2,No,No,0,5667,2667,180,38131.77,0,Y,1,787
122,LP001430,15580203,Kennedy,Executive,Graduate,No,674,1,Spain,Semiurban,No,Male,39,6,120193.42,No,Yes,No,No,0,4166,0,44,100130.95,0,Y,1,751
123,LP001431,15690673,Cameron,Executive,Graduate,No,656,0,France,Semiurban,No,Female,39,6,0,Yes,2,Yes,No,0,2137,8980,137,141069.88,0,Y,1,247
124,LP001432,15760085,Calabresi,Executive,Graduate,No,684,1,Germany,Semiurban,Divorced,Female,48,10,126384.42,Yes,Yes,Yes,Yes,2,2957,0,81,198129.36,0,Y,1,133
125,LP001439,15779659,Zetticci,Sr Manager,Not Graduate,No,625,1,France,Rural,Married,Female,28,3,0,No,Yes,No,No,0,4300,2014,194,183646.41,0,Y,1,271
126,LP001443,15627360,Fuller,Manager,Graduate,No,432,1,France,Rural,No,Male,42,9,152603.45,Yes,Yes,Yes,No,0,3692,0,93,110265.24,1,Y,1,223
127,LP001448,15671137,MacDonald,Executive,Graduate,No,549,1,France,Rural,Divorced,Female,52,1,0,No,Yes,No,Yes,3+,23803,0,370,8636.05,1,Y,1,930
128,LP001449,15782688,Piccio,Executive,Graduate,No,625,1,Germany,Rural,No,Male,56,0,148507.24,Yes,Yes,Yes,No,0,3865,1640,,46824.08,1,Y,1,572
129,LP001451,15575492,Kennedy,Manager,Graduate,Yes,828,0,France,Urban,Divorced,Female,41,7,0,Yes,2,Yes,No,1,10513,3850,160,171378.77,0,N,1,676
130,LP001465,15591607,Fernie,AVP,Graduate,No,770,0,France,Rural,Divorced,Male,24,9,101827.07,Yes,Yes,Yes,No,0,6080,2569,182,167256.35,0,N,1,853
131,LP001469,15740404,He,Manager,Graduate,Yes,758,0,France,Urban,No,Female,34,3,0,Yes,2,Yes,Yes,0,20166,0,650,124226.16,0,Y,1,736
132,LP001473,15718369,Kaodilinakachukwu,Executive,Graduate,No,795,1,Germany,Urban,No,Female,33,9,130862.43,Yes,Yes,Yes,Yes,0,2014,1929,74,114935.21,0,Y,1,240
133,LP001478,15677871,Cocci,Sr Manager,Graduate,No,687,1,France,Semiurban,No,Male,38,9,122570.87,Yes,Yes,Yes,Yes,0,2718,0,70,35608.88,0,Y,1,191
134,LP001482,15642004,Alekseeva,Manager,Graduate,Yes,686,1,France,Semiurban,Married,Male,25,1,0,No,2,No,Yes,0,3459,0,25,16459.37,0,Y,1,424
135,LP001487,15712543,Chinweike,Manager,Graduate,No,789,1,Germany,Semiurban,No,Male,39,7,124828.46,Yes,2,Yes,Yes,0,4895,0,102,124411.08,0,Y,1,926
136,LP001488,15584518,Arthur,Manager,Graduate,No,589,1,Germany,Semiurban,Married,Female,50,5,144895.05,Yes,2,Yes,Yes,3+,4000,7750,290,34941.23,0,N,1,434
137,LP001489,15802381,Li,Manager,Graduate,No,461,1,Germany,Rural,Married,Female,34,5,63663.93,No,Yes,No,Yes,0,4583,0,84,167784.28,0,N,1,370
138,LP001491,15610156,Ma,Manager,Graduate,Yes,637,1,France,Urban,Divorced,Male,40,2,133463.1,No,Yes,No,Yes,2,3316,3500,88,93165.34,0,Y,1,211
139,LP001492,15594408,Chia,VP,Graduate,No,584,0,Spain,Semiurban,No,Female,48,2,213146.2,Yes,Yes,Yes,No,0,14999,0,242,75161.25,1,N,1,775
140,LP001493,15640905,Vasin,Manager,Not Graduate,No,579,1,Spain,Rural,Married,Female,35,1,129490.36,No,2,No,Yes,2,4200,1430,129,8590.83,1,N,1,827
141,LP001497,15698932,Groves,Manager,Graduate,No,756,1,Germany,Rural,Divorced,Male,44,10,137452.09,Yes,Yes,Yes,No,2,5042,2083,185,189543.9,0,N,1,211
142,LP001498,15724944,Tien,Manager,Graduate,No,663,1,France,Urban,No,Male,34,7,0,Yes,2,Yes,Yes,0,5417,0,168,180427.24,0,Y,1,985
143,LP001504,15628145,Forwood,Manager,Graduate,Yes,682,1,France,Semiurban,No,Female,43,5,125851.93,Yes,Yes,Yes,Yes,0,6950,0,175,193318.33,0,Y,1,905
144,LP001507,15713483,Greeves,Sr Manager,Graduate,No,793,1,Spain,Semiurban,Divorced,Male,52,2,0,Yes,Yes,Yes,No,0,2698,2034,122,159123.82,1,Y,1,485
145,LP001508,15612350,Taylor,Manager,Graduate,No,691,1,France,Urban,Married,Female,31,5,40915.55,Yes,Yes,Yes,No,2,11757,0,187,126213.84,1,Y,1,667
146,LP001514,15800703,Madukwe,Executive,Graduate,No,485,1,Spain,Semiurban,Divorced,Female,21,5,113157.22,Yes,Yes,Yes,Yes,0,2330,4486,100,54141.5,0,Y,1,899
147,LP001516,15705707,Bennelong,Manager,Graduate,No,635,1,Spain,Urban,Divorced,Female,29,8,138296.94,Yes,2,Yes,No,2,14866,0,70,141075.51,0,Y,1,629
148,LP001518,15754105,Olisanugo,Sr Manager,Graduate,No,650,1,France,Urban,Divorced,Male,37,5,106967.18,No,Yes,No,No,1,1538,1425,30,24495.03,0,Y,1,927
149,LP001519,15703264,Chukwufumnanya,Manager,Graduate,No,735,1,France,Rural,No,Male,44,9,120681.63,Yes,Yes,Yes,No,0,10000,1666,225,74836.34,0,N,1,652
150,LP001520,15794413,Harris,Executive,Graduate,No,416,1,France,Semiurban,Divorced,Male,32,0,0,No,2,No,Yes,0,4860,830,125,878.87,0,Y,1,247
151,LP001528,15650237,Morgan,Executive,Graduate,No,754,0,Spain,Rural,No,Female,32,7,0,Yes,2,Yes,No,0,6277,0,118,89520.75,0,N,1,724
