Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country_Region,City,State_Province,Postal_Code,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit
16.00,US-2021-105417,07-01-2021,12-01-2021,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder Smoke 1""",10.43,7.00,0.80,-18.25
17.00,US-2021-135405,09-01-2021,13-01-2021,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.34,2.00,0.20,1.17
18.00,US-2021-135405,09-01-2021,13-01-2021,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.20,3.00,0.20,9.75
19.00,US-2021-149020,10-01-2021,15-01-2021,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1.00,0.00,21.30
20.00,US-2021-149020,10-01-2021,15-01-2021,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1.00,0.00,1.36
21.00,US-2021-130092,11-01-2021,14-01-2021,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,DAX Value U-Channel Document Frames Easel Back,9.94,2.00,0.00,3.08
22.00,US-2021-157147,13-01-2021,18-01-2021,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,O'Sullivan Elevations Bookcase Cherry Finish,334.00,3.00,0.15,3.93
23.00,US-2021-109232,13-01-2021,16-01-2021,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6.00,0.00,87.35
24.00,US-2021-157147,13-01-2021,18-01-2021,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.90,5.00,0.00,6.57
25.00,US-2021-118192,13-01-2021,18-01-2021,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2.00,0.70,-2.52
26.00,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,3.00,0.00,2.71
27.00,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3.00,0.00,25.47
28.00,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2.00,0.00,5.34
29.00,US-2021-118192,13-01-2021,18-01-2021,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.41,7.00,0.20,13.09
30.00,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6.00,0.00,34.35
31.00,US-2021-157147,13-01-2021,18-01-2021,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5.00,0.00,238.65
32.00,US-2021-162775,13-01-2021,15-01-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6.00,0.00,258.70
33.00,US-2021-149524,14-01-2021,15-01-2021,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4.00,0.50,-53.29
34.00,US-2021-103366,15-01-2021,17-01-2021,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5.00,0.00,65.98
35.00,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.10,6.00,0.20,28.60
36.00,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.59,2.00,0.70,-13.63
37.00,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,3.00,0.20,10.15
38.00,US-2021-115791,16-01-2021,18-01-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.20,3.00,0.40,-31.05
39.00,US-2021-123477,18-01-2021,21-01-2021,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4.00,0.20,6.49
40.00,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5.00,0.70,-320.60
41.00,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,GBC Standard Recycled Report Covers Clear Plastic Sheets,32.34,10.00,0.70,-23.72
42.00,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,Tyvek  Top-Opening Peel & Seel Envelopes Plain White,108.72,5.00,0.20,36.69
43.00,US-2021-146591,19-01-2021,20-01-2021,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,TOPS Carbonless Receipt Book Four 2-3/4 x 7-1/4 Money Receipts per Page,56.06,4.00,0.20,19.62
44.00,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3.00,0.00,224.27
45.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3.00,0.00,4.86
46.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3.00,0.00,30.02
47.00,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory Wood Pencil Holder Oak,38.60,4.00,0.00,11.58
48.00,US-2021-148614,20-01-2021,25-01-2021,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory Wood Pencil Holder Oak,19.30,2.00,0.00,5.79
49.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner Very Large Room HEPA Filter,247.72,4.00,0.10,93.58
50.00,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7.00,0.00,6.66
51.00,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3.00,0.00,1.79
52.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3.00,0.00,12.74
53.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks 9 1/2"" x 11"" Executive Red",19.05,5.00,0.00,8.95
54.00,US-2021-147774,20-01-2021,26-01-2021,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1.00,0.70,-51.52
55.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.70,5.00,0.00,13.37
56.00,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,3.00,0.00,10.97
57.00,US-2021-148614,20-01-2021,25-01-2021,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books 5 1/2"" x 4""",19.36,2.00,0.00,9.29
58.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1.00,0.00,4.05
59.00,US-2021-167927,20-01-2021,26-01-2021,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2.00,0.00,15.98
60.00,US-2021-147627,20-01-2021,26-01-2021,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,7.00,0.00,181.98
61.00,US-2021-110422,21-01-2021,23-01-2021,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3.00,0.20,4.10
62.00,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,Eldon Imàge Series Desk Accessories Clear,24.30,5.00,0.00,10.45
63.00,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame Desktop 5 x 7,9.48,1.00,0.00,3.79
64.00,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,Eldon 200 Class Desk Accessories Burgundy,31.40,5.00,0.00,13.19
65.00,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),6.48,1.00,0.00,3.11
66.00,CA-2021-115238,21-01-2021,24-01-2021,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Technology,Phones,iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5 4S 4,209.50,10.00,0.00,58.66
67.00,US-2021-146997,23-01-2021,27-01-2021,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,Alliance Big Bands Rubber Bands 12/Pack,5.94,3.00,0.00,0.00
68.00,US-2021-102645,23-01-2021,28-01-2021,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,6.00,0.00,19.24
69.00,US-2021-167997,26-01-2021,29-01-2021,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,Safco Value Mate Series Steel Bookcases Baked Enamel Finish on Steel Gray,141.96,2.00,0.00,39.75
70.00,US-2021-155502,26-01-2021,31-01-2021,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3.00,0.00,4.47
71.00,US-2021-155502,26-01-2021,31-01-2021,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,GE General Use Halogen Bulbs 100 Watts 1 Bulb per Pack,62.82,3.00,0.00,30.78
72.00,US-2021-167997,26-01-2021,29-01-2021,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2.00,0.00,5.02
73.00,US-2021-155502,26-01-2021,31-01-2021,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register 11"" X 8 1/2"" 100 Messages",16.68,2.00,0.00,8.34
74.00,US-2021-155502,26-01-2021,31-01-2021,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"" Ream",19.44,3.00,0.00,9.33
75.00,US-2021-155502,26-01-2021,31-01-2021,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Office Supplies,Storage,SAFCO Commercial Wire Shelving 72h,489.92,8.00,0.00,0.00
76.00,US-2021-155502,26-01-2021,31-01-2021,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,187.98,2.00,0.00,52.63
77.00,US-2021-155502,26-01-2021,31-01-2021,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,13.00,0.00,0.00
78.00,US-2021-117163,27-01-2021,02-02-2021,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333.00,3.00,0.20,-16.65
79.00,US-2021-117163,27-01-2021,02-02-2021,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4.00,0.00,12.03
80.00,US-2021-117163,27-01-2021,02-02-2021,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1.00,0.00,14.31
81.00,US-2021-100328,28-01-2021,03-02-2021,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks 9 1/2"" x 11"" Light Blue",3.93,1.00,0.20,1.33
82.00,US-2021-134103,30-01-2021,04-02-2021,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2.00,0.00,4.75
83.00,US-2021-134103,30-01-2021,04-02-2021,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2.00,0.00,6.90
84.00,US-2021-115161,31-01-2021,02-02-2021,First Class,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,Sauder Facets Collection Library Sky Alder Finish,290.67,2.00,0.15,3.42
85.00,US-2021-140795,01-02-2021,03-02-2021,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.90,6.00,0.00,206.32
86.00,US-2021-123400,02-02-2021,09-02-2021,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.34,2.00,0.70,-12.22
87.00,US-2021-139857,02-02-2021,06-02-2021,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,5.00,0.00,5.80
88.00,US-2021-123400,02-02-2021,09-02-2021,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5.00,0.20,13.57
89.00,US-2021-111059,03-02-2021,06-02-2021,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3.00,0.20,4.31
90.00,US-2021-111059,03-02-2021,06-02-2021,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2.00,0.20,27.25
91.00,US-2021-104808,04-02-2021,08-02-2021,Second Class,MH-17440,Mark Haberlin,Corporate,United States,Escondido,California,92025,West,OFF-BI-10003676,Office Supplies,Binders,GBC Standard Recycled Report Covers Clear Plastic Sheets,17.25,2.00,0.20,6.04
92.00,US-2021-107181,04-02-2021,08-02-2021,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.90,3.00,0.20,29.01
93.00,US-2021-107181,04-02-2021,08-02-2021,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-PA-10000350,Office Supplies,Paper,"Message Book Standard Line ""While You Were Out"" 5 1/2"" X 4"" 200 Sets/Book",34.24,4.00,0.00,16.09
94.00,US-2021-108182,06-02-2021,10-02-2021,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,Avery Flip-Chart Easel Binder Black,8.95,2.00,0.80,-14.77
95.00,US-2021-131905,06-02-2021,09-02-2021,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15.00,4.00,0.00,7.20
96.00,US-2021-131905,06-02-2021,09-02-2021,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,144.95,5.00,0.00,42.04
97.00,US-2021-131905,06-02-2021,09-02-2021,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,161.61,1.00,0.00,42.02
98.00,US-2021-169390,07-02-2021,10-02-2021,Second Class,CS-12250,Chris Selesnick,Corporate,United States,New York City,New York,10024,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4.00,0.00,9.74
99.00,US-2021-107755,07-02-2021,12-02-2021,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Linden,New Jersey,7036,East,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7.00,0.00,49.60
100.00,US-2021-125759,08-02-2021,09-02-2021,First Class,NM-18445,Nathan Mautz,Home Office,United States,North Las Vegas,Nevada,89031,West,FUR-FU-10002111,Furniture,Furnishings,Master Caster Door Stop Large Brown,14.56,2.00,0.00,5.53
101.00,US-2021-168368,11-02-2021,15-02-2021,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-CH-10001146,Furniture,Chairs,Global Value Mid-Back Manager's Chair Gray,60.89,1.00,0.00,15.22
102.00,US-2021-168368,11-02-2021,15-02-2021,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats Mat Size- 66"" x 60"" Lip 20"" x 11"" -90 Degree Angle",332.94,3.00,0.00,53.27
103.00,US-2021-127614,11-02-2021,15-02-2021,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6.00,0.00,75.37
104.00,US-2021-127614,11-02-2021,15-02-2021,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.00,0.00,8.21
105.00,US-2021-168368,11-02-2021,15-02-2021,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder,51.90,3.00,0.00,24.39
106.00,US-2021-168368,11-02-2021,15-02-2021,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2.00,0.00,4.43
