RowNumber,Loan_ID,CustomerId,Surname,Designation,Education,Self_Employed,CreditScore,Credit_History,Geography,Property_Area,Married,Gender,Age,Tenure,Balance,HasCar,NumOfProducts,HasCrCard,IsActiveMember,Dependents,ApplicantIncome,CoapplicantIncome, EstimatedSalary ,Exited,Loan_Status,No Customer,LoanAmount
25,LP001052,15625047,Yen,VP,Graduate,No,846,No,France,Semiurban,Divorced,Female,38,5,0,Yes,Yes,Yes,Yes,1,3717,2925," 1,87,616 ",0,Not Approved,1,513
26,LP001066,15738191,Maclean,Manager,Graduate,Yes,577,Yes,France,Semiurban,Divorced,Male,25,3,0,No,2,No,Yes,0,9560,0," 1,24,508 ",0,Loan Approved,1,697
27,LP001068,15736816,Young,VP,Graduate,No,756,Yes,Germany,Semiurban,Married,Male,36,2,136815.64,Yes,Yes,Yes,Yes,0,2799,2253," 1,70,042 ",0,Loan Approved,1,840
28,LP001073,15700772,Nebechi,Executive,Not Graduate,No,571,Yes,France,Urban,Divorced,Male,44,9,0,No,2,No,No,2,4226,1040," 38,433 ",0,Loan Approved,1,922
29,LP001086,15728693,McWilliams,Executive,Not Graduate,No,574,Yes,Germany,Urban,Not Married,Female,43,3,141349.43,Yes,Yes,Yes,Yes,0,1442,0," 1,00,187 ",0,Not Approved,1,720
30,LP001087,15656300,Lucciano,Executive,Graduate,No,411,Yes,France,Semiurban,Not Married,Male,29,0,59697.17,Yes,2,Yes,Yes,2,3750,2083," 53,483 ",0,Loan Approved,1,352
31,LP001091,15589475,Azikiwe,AVP,Graduate,No,591,Yes,Spain,Urban,Divorced,Female,39,3,0,Yes,3,Yes,No,1,4166,3369," 1,40,469 ",1,Not Approved,1,805
32,LP001095,15706552,Odinakachukwu,Sr Manager,Graduate,No,533,Yes,France,Urban,Not Married,Male,36,7,85311.7,No,Yes,No,Yes,0,3167,0," 1,56,732 ",0,Not Approved,1,816
33,LP001097,15750181,Sanderson,Manager,Graduate,Yes,553,Yes,Germany,Rural,Not Married,Male,41,9,110112.54,No,2,No,No,1,4692,0," 81,899 ",0,Not Approved,1,135
34,LP001098,15659428,Maggard,Executive,Graduate,No,520,Yes,Spain,Semiurban,Divorced,Female,42,6,0,Yes,2,Yes,Yes,0,3500,1667," 34,411 ",0,Loan Approved,1,890
35,LP001100,15732963,Clements,Executive,Graduate,No,722,Yes,Spain,Rural,Not Married,Female,29,9,0,Yes,2,Yes,Yes,3+,12500,3000," 1,42,033 ",0,Not Approved,1,111
36,LP001106,15794171,Lombardo,VP,Graduate,No,475,Yes,France,Urban,Divorced,Female,45,0,134264.04,Yes,Yes,Yes,No,0,2275,2067," 27,823 ",1,Loan Approved,1,358
37,LP001109,15788448,Watson,Executive,Graduate,No,490,No,Spain,Urban,Married,Male,31,3,145260.23,No,Yes,No,Yes,0,1828,1330," 1,14,067 ",0,Not Approved,1,673
38,LP001112,15729599,Lorenzo,Executive,Graduate,No,804,Yes,Spain,Semiurban,Married,Male,33,7,76548.6,No,Yes,No,Yes,0,3667,1459," 98,453 ",0,Loan Approved,1,477
39,LP001114,15717426,Armstrong,Manager,Graduate,No,850,Yes,France,Urban,Not Married,Male,36,7,0,Yes,Yes,Yes,Yes,0,4166,7210," 40,813 ",0,Loan Approved,1,323
40,LP001116,15585768,Cameron,Executive,Not Graduate,No,582,Yes,Germany,Semiurban,Not Married,Male,41,6,70349.48,No,2,No,Yes,0,3748,1668," 1,78,074 ",0,Loan Approved,1,535
41,LP001119,15619360,Hsiao,Executive,Graduate,No,472,Yes,Spain,Urban,Not Married,Male,40,4,0,Yes,Yes,Yes,No,0,3600,0," 70,154 ",0,Not Approved,1,801
42,LP001120,15738148,Clarke,Executive,Graduate,No,465,Yes,France,Urban,Not Married,Female,51,8,122522.32,No,Yes,No,No,0,1800,1213," 1,81,298 ",1,Loan Approved,1,585
43,LP001123,15687946,Osborne,Executive,Graduate,No,556,Yes,France,Urban,Divorced,Female,61,2,117419.35,Yes,Yes,Yes,Yes,0,2400,0," 94,154 ",0,Loan Approved,1,297
44,LP001131,15755196,Lavine,Manager,Graduate,No,834,Yes,France,Semiurban,Divorced,Female,49,2,131394.56,No,Yes,No,No,0,3941,2336," 1,94,366 ",1,Loan Approved,1,588
45,LP001136,15684171,Bianchi,Manager,Not Graduate,Yes,660,Yes,Spain,Urban,Divorced,Female,61,5,155931.11,Yes,Yes,Yes,Yes,0,4695,0," 1,58,338 ",0,Loan Approved,1,576
46,LP001137,15754849,Tyler,Sr Manager,Graduate,No,776,Yes,Germany,Urban,Not Married,Female,32,4,109421.13,Yes,2,Yes,Yes,0,3410,0," 1,26,517 ",0,Loan Approved,1,613
47,LP001138,15602280,Martin,Manager,Graduate,No,829,Yes,Germany,Urban,Married,Female,27,9,112045.67,Yes,Yes,Yes,Yes,1,5649,0," 1,19,708 ",1,Loan Approved,1,968
48,LP001144,15771573,Okagbue,VP,Graduate,No,637,Yes,Germany,Urban,Divorced,Female,39,9,137843.8,Yes,Yes,Yes,Yes,0,5821,0," 1,17,623 ",1,Loan Approved,1,361
49,LP001146,15766205,Yin,Sr Manager,Graduate,No,550,No,Germany,Urban,Divorced,Male,38,2,103391.38,No,Yes,No,Yes,0,2645,3440," 90,878 ",0,Not Approved,1,799
50,LP001151,15771873,Buccho,Executive,Graduate,No,776,Yes,Germany,Semiurban,Not Married,Female,37,2,103769.22,Yes,2,Yes,No,0,4000,2275," 1,94,099 ",0,Loan Approved,1,369
51,LP001155,15616550,Chidiebele,Executive,Not Graduate,No,698,Yes,Germany,Semiurban,Divorced,Male,44,10,116363.37,Yes,2,Yes,No,0,1928,1644," 1,98,059 ",0,Loan Approved,1,408
52,LP001157,15768193,Trevisani,Executive,Graduate,No,585,Yes,Germany,Semiurban,Not Married,Male,36,5,146050.97,No,2,No,No,0,3086,0," 86,425 ",0,Loan Approved,1,180
53,LP001164,15683553,O'Brien,AVP,Graduate,No,788,Yes,France,Semiurban,Not Married,Female,33,5,0,No,2,No,No,0,4230,0," 1,16,978 ",0,Not Approved,1,130
54,LP001179,15702298,Parkhill,Manager,Graduate,No,655,Yes,Germany,Urban,Divorced,Male,41,8,125561.97,No,Yes,No,No,2,4616,0," 1,64,041 ",1,Not Approved,1,628
55,LP001186,15569590,Yoo,Manager,Graduate,Yes,601,No,Germany,Urban,Married,Male,42,1,98495.72,Yes,Yes,Yes,No,1,11500,0," 40,015 ",1,Not Approved,1,748
56,LP001194,15760861,Phillipps,Manager,Graduate,No,619,Yes,France,Semiurban,Married,Male,43,1,125211.92,Yes,Yes,Yes,Yes,2,2708,1167," 1,13,410 ",0,Loan Approved,1,459
57,LP001195,15630053,Tsao,Sr Manager,Graduate,No,656,Yes,France,Semiurban,Divorced,Male,45,5,127864.4,Yes,Yes,Yes,No,0,2132,1591," 87,108 ",0,Loan Approved,1,847
58,LP001197,15647091,Endrizzi,Sr Manager,Graduate,No,725,Yes,Germany,Rural,Married,Male,19,0,75888.2,No,Yes,No,No,0,3366,2200," 45,614 ",0,Not Approved,1,152
59,LP001198,15623944,T'ien,Executive,Graduate,No,511,Yes,Spain,Urban,Married,Female,66,4,0,Yes,Yes,Yes,No,1,8080,2250," 1,643 ",1,Loan Approved,1,725
60,LP001199,15804771,Velazquez,Manager,Not Graduate,No,614,Yes,France,Urban,Married,Male,51,4,40685.92,Yes,Yes,Yes,Yes,2,3357,2859," 46,775 ",0,Loan Approved,1,286
61,LP001205,15651280,Hunter,Manager,Graduate,No,742,Yes,Germany,Urban,Married,Male,35,5,136857,No,Yes,No,No,0,2500,3796," 84,510 ",0,Loan Approved,1,920
62,LP001206,15773469,Clark,Manager,Graduate,No,687,Yes,Germany,Urban,Divorced,Female,27,9,152328.88,No,2,No,No,3+,3029,0," 1,26,495 ",0,Loan Approved,1,120
63,LP001207,15702014,Jeffrey,Manager,Not Graduate,Yes,555,No,Spain,Rural,Divorced,Male,33,1,56084.69,No,2,No,No,0,2609,3449," 1,78,798 ",0,Not Approved,1,291
64,LP001213,15751208,Pirozzi,VP,Graduate,No,684,No,Spain,Rural,Divorced,Male,56,8,78707.16,Yes,Yes,Yes,Yes,1,4945,0," 99,398 ",0,Not Approved,1,575
65,LP001222,15592461,Jackson,Executive,Graduate,No,603,No,Germany,Semiurban,Not Married,Male,26,4,109166.37,Yes,Yes,Yes,Yes,0,4166,0," 92,841 ",0,Not Approved,1,899
66,LP001225,15789484,Hammond,Executive,Graduate,No,751,Yes,Germany,Semiurban,Divorced,Female,36,6,169831.46,Yes,2,Yes,Yes,0,5726,4595," 27,758 ",0,Not Approved,1,155
67,LP001228,15696061,Brownless,Manager,Not Graduate,No,581,No,Germany,Urban,Not Married,Female,34,1,101633.04,Yes,Yes,Yes,No,0,3200,2254," 1,10,432 ",0,Not Approved,1,545
68,LP001233,15641582,Chibugo,Executive,Graduate,No,735,Yes,Germany,Urban,Divorced,Male,43,10,123180.01,Yes,2,Yes,Yes,1,10750,0," 1,96,673 ",0,Loan Approved,1,646
69,LP001238,15638424,Glauert,Manager,Not Graduate,Yes,661,Yes,Germany,Urban,Divorced,Female,35,5,150725.53,No,2,No,Yes,3+,7100,0," 1,13,657 ",0,Loan Approved,1,119
70,LP001241,15755648,Pisano,Manager,Graduate,No,675,No,France,Semiurban,Not Married,Female,21,8,98373.26,Yes,Yes,Yes,No,0,4300,0," 18,203 ",0,Not Approved,1,870
71,LP001243,15703793,Konovalova,Manager,Graduate,No,738,Yes,Germany,Urban,Married,Male,58,2,133745.44,Yes,4,Yes,No,0,3208,3066," 28,374 ",1,Loan Approved,1,170
72,LP001245,15620344,McKee,Manager,Not Graduate,Yes,813,Yes,France,Semiurban,Divorced,Male,29,6,0,Yes,Yes,Yes,No,2,1875,1875," 33,954 ",0,Loan Approved,1,125
73,LP001248,15812518,Palermo,Sr Manager,Graduate,No,657,Yes,Spain,Semiurban,Not Married,Female,37,0,163607.18,No,Yes,No,Yes,0,3500,0," 44,204 ",0,Loan Approved,1,817
74,LP001250,15779052,Ballard,AVP,Not Graduate,No,604,No,Germany,Semiurban,Divorced,Female,25,5,157780.84,Yes,2,Yes,Yes,3+,4755,0," 58,427 ",0,Not Approved,1,418
75,LP001253,15770811,Wallace,Manager,Graduate,Yes,519,Yes,France,Semiurban,Married,Male,36,9,0,No,2,No,Yes,3+,5266,1774," 1,45,562 ",0,Loan Approved,1,777
76,LP001255,15780961,Cavenagh,Executive,Graduate,No,735,Yes,France,Urban,Not Married,Female,21,1,178718.19,Yes,2,Yes,No,0,3750,0," 22,388 ",0,Not Approved,1,169
77,LP001256,15614049,Hu,Executive,Graduate,No,664,Yes,France,Urban,Not Married,Male,55,8,0,Yes,2,Yes,Yes,0,3750,4750," 1,39,162 ",0,Not Approved,1,469
78,LP001259,15662085,Read,Manager,Graduate,Yes,678,Yes,France,Urban,Divorced,Female,32,9,0,Yes,Yes,Yes,Yes,1,1000,3022," 1,48,211 ",0,Not Approved,1,391
79,LP001263,15575185,Bushell,Manager,Graduate,No,757,No,Spain,Semiurban,Married,Male,33,5,77253.22,No,Yes,No,Yes,3+,3167,4000," 1,94,240 ",0,Not Approved,1,968
80,LP001264,15803136,Postle,Manager,Not Graduate,Yes,416,No,Germany,Semiurban,Divorced,Female,41,10,122189.66,Yes,2,Yes,No,3+,3333,2166," 98,302 ",0,Loan Approved,1,176
81,LP001265,15706021,Buley,VP,Graduate,No,665,Yes,France,Semiurban,Not Married,Female,34,1,96645.54,No,2,No,No,0,3846,0," 1,71,414 ",0,Loan Approved,1,249
82,LP001266,15663706,Leonard,Manager,Graduate,Yes,777,Yes,France,Semiurban,Divorced,Female,32,2,0,Yes,Yes,Yes,No,1,2395,0," 1,36,458 ",1,Loan Approved,1,434
83,LP001267,15641732,Mills,Executive,Graduate,No,543,Yes,France,Urban,Divorced,Female,36,3,0,No,2,No,No,2,1378,1881," 26,020 ",0,Not Approved,1,856
84,LP001273,15701164,Onyeorulu,VP,Graduate,No,506,Yes,France,Semiurban,Married,Female,34,4,90307.62,Yes,Yes,Yes,Yes,0,6000,2250," 1,59,235 ",0,Not Approved,1,592
85,LP001275,15738751,Beit,Sr Manager,Graduate,No,493,Yes,France,Urban,Divorced,Female,46,4,0,Yes,2,Yes,No,1,3988,0," 1,908 ",0,Loan Approved,1,623
86,LP001279,15805254,Ndukaku,Executive,Graduate,No,652,Yes,Spain,Semiurban,Not Married,Female,75,10,0,Yes,2,Yes,Yes,0,2366,2531," 1,14,676 ",0,Loan Approved,1,114
87,LP001280,15762418,Gant,Executive,Not Graduate,No,750,Yes,Spain,Semiurban,Divorced,Male,22,3,121681.82,Yes,Yes,Yes,No,2,3333,2000," 1,28,643 ",1,Loan Approved,1,704
88,LP001282,15625759,Rowley,Manager,Graduate,No,729,Yes,France,Semiurban,Divorced,Male,30,9,0,Yes,2,Yes,No,0,2500,2118," 1,51,869 ",0,Loan Approved,1,574
89,LP001289,15622897,Sharpe,Manager,Graduate,No,646,Yes,France,Urban,Not Married,Female,46,4,0,Yes,3,Yes,No,0,8566,0," 93,251 ",1,Loan Approved,1,356
90,LP001310,15767954,Osborne,Executive,Graduate,No,635,Yes,Germany,Semiurban,Divorced,Female,28,3,81623.67,Yes,2,Yes,Yes,0,5695,4167," 1,56,791 ",0,Loan Approved,1,419
91,LP001316,15757535,Heap,Sr Manager,Graduate,No,647,Yes,Spain,Semiurban,Divorced,Female,44,5,0,Yes,3,Yes,Yes,0,2958,2900," 1,74,205 ",1,Loan Approved,1,422
92,LP001318,15731511,Ritchie,Sr Manager,Graduate,No,808,Yes,France,Semiurban,Married,Male,45,7,118626.55,Yes,2,Yes,No,2,6250,5654," 1,47,132 ",0,Loan Approved,1,566
93,LP001319,15809248,Cole,Manager,Not Graduate,No,524,Yes,France,Urban,Married,Female,36,10,0,Yes,2,Yes,No,2,3273,1820," 1,09,615 ",0,Loan Approved,1,955
94,LP001322,15640635,Capon,Sr Manager,Graduate,No,769,Yes,France,Semiurban,Not Married,Male,29,8,0,Yes,2,Yes,Yes,0,4133,0," 1,72,291 ",0,Loan Approved,1,806
95,LP001325,15676966,Capon,VP,Not Graduate,No,730,Yes,Spain,Semiurban,Not Married,Male,42,4,0,No,2,No,Yes,0,3620,0," 85,982 ",0,Loan Approved,1,703
96,LP001326,15699461,Fiorentini,Executive,Graduate,No,515,Yes,Spain,Urban,Not Married,Male,35,10,176273.95,No,Yes,No,Yes,0,6782,0," 1,21,278 ",0,Not Approved,1,475
97,LP001327,15738721,Graham,Manager,Graduate,No,773,Yes,Spain,Semiurban,Divorced,Male,41,9,102827.44,No,Yes,No,Yes,0,2484,2302," 64,595 ",0,Loan Approved,1,303
98,LP001333,15693683,Yuille,VP,Graduate,No,814,Yes,Germany,Semiurban,Divorced,Male,29,8,97086.4,Yes,2,Yes,Yes,0,1977,997," 1,97,276 ",0,Loan Approved,1,187
99,LP001334,15604348,Allard,AVP,Not Graduate,No,710,Yes,Spain,Semiurban,Divorced,Male,22,8,0,No,2,No,No,0,4188,0," 99,645 ",0,Loan Approved,1,835
100,LP001343,15633059,Fanucci,Manager,Graduate,No,413,Yes,France,Semiurban,Divorced,Male,34,9,0,No,2,No,No,0,1759,3541," 6,534 ",0,Loan Approved,1,474
101,LP001345,15808582,Fu,Manager,Not Graduate,No,665,Yes,France,Urban,Married,Female,40,6,0,Yes,Yes,Yes,Yes,2,4288,3263," 1,61,848 ",0,Loan Approved,1,622
102,LP001349,15743192,Hung,Manager,Graduate,No,623,Yes,France,Semiurban,Not Married,Female,44,6,0,No,2,No,No,0,4843,3806," 1,67,162 ",0,Loan Approved,1,973
103,LP001350,15580146,Hung,Manager,Graduate,No,738,Yes,France,Urban,Divorced,Male,31,9,82674.15,Yes,Yes,Yes,No,0,13650,0," 41,971 ",0,Loan Approved,1,243
104,LP001356,15776605,Bradley,Manager,Graduate,No,528,Yes,Spain,Semiurban,Married,Male,36,7,0,Yes,2,Yes,No,0,4652,3583," 60,537 ",0,Loan Approved,1,281
105,LP001357,15804919,Dunbabin,Sr Manager,Graduate,No,670,Yes,Spain,Urban,Married,Female,65,1,0,Yes,Yes,Yes,Yes,0,3816,754," 1,77,656 ",1,Loan Approved,1,810
106,LP001367,15613854,Mauldon,Executive,Graduate,No,622,Yes,Spain,Urban,Divorced,Female,46,4,107073.27,Yes,2,Yes,Yes,1,3052,1030," 30,985 ",1,Loan Approved,1,791
107,LP001369,15599195,Stiger,Executive,Graduate,No,582,Yes,Germany,Urban,Married,Male,32,1,88938.62,Yes,Yes,Yes,Yes,2,11417,1126," 10,055 ",0,Loan Approved,1,845
108,LP001370,15812878,Parsons,Executive,Not Graduate,No,785,Yes,Germany,Rural,Not Married,Female,36,2,99806.85,No,Yes,No,Yes,0,7333,0," 36,977 ",0,Not Approved,1,978
109,LP001379,15602312,Walkom,Manager,Graduate,No,605,No,Spain,Urban,Divorced,Male,33,5,150092.8,No,Yes,No,No,2,3800,3600," 71,863 ",0,Not Approved,1,322
110,LP001384,15744689,T'ang,Executive,Not Graduate,No,479,Yes,Germany,Semiurban,Divorced,Male,35,9,92833.89,Yes,Yes,Yes,No,3+,2071,754," 99,450 ",1,Loan Approved,1,344
111,LP001385,15803526,Eremenko,Manager,Graduate,No,685,Yes,Germany,Urban,Not Married,Male,30,3,90536.81,No,Yes,No,Yes,0,5316,0," 63,083 ",0,Loan Approved,1,703
112,LP001387,15665790,Rowntree,Executive,Graduate,No,538,Yes,Germany,Semiurban,Divorced,Male,39,7,108055.1,Yes,2,Yes,No,0,2929,2333," 27,231 ",0,Loan Approved,1,579
113,LP001391,15715951,Thorpe,VP,Not Graduate,No,562,No,France,Rural,Divorced,Male,42,2,100238.35,No,Yes,No,No,0,3572,4114," 86,797 ",0,Not Approved,1,195
114,LP001392,15591100,Chiemela,Manager,Graduate,Yes,675,Yes,Spain,Semiurban,Not Married,Male,36,9,106190.55,No,Yes,No,Yes,1,7451,0," 22,994 ",0,Loan Approved,1,153
115,LP001398,15609618,Fanucci,Executive,Graduate,Yes,721,Yes,Germany,Semiurban,Not Married,Male,28,9,154475.54,No,2,No,Yes,0,5050,0," 1,01,301 ",1,Loan Approved,1,165
116,LP001401,15675522,Ko,Manager,Graduate,No,628,Yes,Germany,Rural,Divorced,Female,30,9,132351.29,Yes,2,Yes,Yes,1,14583,0," 74,169 ",0,Loan Approved,1,334
117,LP001404,15705512,Welch,Executive,Graduate,No,668,Yes,Germany,Semiurban,Divorced,Female,37,6,167864.4,Yes,Yes,Yes,No,0,3167,2283," 1,15,638 ",0,Loan Approved,1,951
118,LP001405,15698028,Duncan,Manager,Graduate,No,506,Yes,France,Urban,Divorced,Female,41,1,0,Yes,2,Yes,No,1,2214,1398," 31,766 ",0,Loan Approved,1,424
119,LP001421,15661670,Chidozie,Executive,Graduate,No,524,Yes,Germany,Rural,Divorced,Female,31,8,107818.63,Yes,Yes,Yes,No,0,5568,2142," 1,99,725 ",1,Not Approved,1,996
120,LP001422,15600781,Wu,Executive,Graduate,No,699,Yes,Germany,Urban,Not Married,Male,34,4,185173.81,Yes,2,Yes,No,0,10408,0," 1,20,834 ",0,Loan Approved,1,750
121,LP001426,15682472,Culbreth,AVP,Graduate,No,828,Yes,France,Rural,Married,Male,34,8,129433.34,No,2,No,No,0,5667,2667," 38,132 ",0,Loan Approved,1,787
122,LP001430,15580203,Kennedy,Executive,Graduate,No,674,Yes,Spain,Semiurban,Not Married,Male,39,6,120193.42,No,Yes,No,No,0,4166,0," 1,00,131 ",0,Loan Approved,1,751
123,LP001431,15690673,Cameron,Executive,Graduate,No,656,No,France,Semiurban,Not Married,Female,39,6,0,Yes,2,Yes,No,0,2137,8980," 1,41,070 ",0,Loan Approved,1,247
124,LP001432,15760085,Calabresi,Executive,Graduate,No,684,Yes,Germany,Semiurban,Divorced,Female,48,10,126384.42,Yes,Yes,Yes,Yes,2,2957,0," 1,98,129 ",0,Loan Approved,1,133
125,LP001439,15779659,Zetticci,Sr Manager,Not Graduate,No,625,Yes,France,Rural,Married,Female,28,3,0,No,Yes,No,No,0,4300,2014," 1,83,646 ",0,Loan Approved,1,271
126,LP001443,15627360,Fuller,Manager,Graduate,No,432,Yes,France,Rural,Not Married,Male,42,9,152603.45,Yes,Yes,Yes,No,0,3692,0," 1,10,265 ",1,Loan Approved,1,223
127,LP001448,15671137,MacDonald,Executive,Graduate,No,549,Yes,France,Rural,Divorced,Female,52,1,0,No,Yes,No,Yes,3+,23803,0," 8,636 ",1,Loan Approved,1,930
128,LP001449,15782688,Piccio,Executive,Graduate,No,625,Yes,Germany,Rural,Not Married,Male,56,0,148507.24,Yes,Yes,Yes,No,0,3865,1640," 46,824 ",1,Loan Approved,1,572
129,LP001451,15575492,Kennedy,Manager,Graduate,Yes,828,No,France,Urban,Divorced,Female,41,7,0,Yes,2,Yes,No,1,10513,3850," 1,71,379 ",0,Not Approved,1,676
130,LP001465,15591607,Fernie,AVP,Graduate,No,770,No,France,Rural,Divorced,Male,24,9,101827.07,Yes,Yes,Yes,No,0,6080,2569," 1,67,256 ",0,Not Approved,1,853
131,LP001469,15740404,He,Manager,Graduate,Yes,758,No,France,Urban,Not Married,Female,34,3,0,Yes,2,Yes,Yes,0,20166,0," 1,24,226 ",0,Loan Approved,1,736
132,LP001473,15718369,Kaodilinakachukwu,Executive,Graduate,No,795,Yes,Germany,Urban,Not Married,Female,33,9,130862.43,Yes,Yes,Yes,Yes,0,2014,1929," 1,14,935 ",0,Loan Approved,1,240
133,LP001478,15677871,Cocci,Sr Manager,Graduate,No,687,Yes,France,Semiurban,Not Married,Male,38,9,122570.87,Yes,Yes,Yes,Yes,0,2718,0," 35,609 ",0,Loan Approved,1,191
134,LP001482,15642004,Alekseeva,Manager,Graduate,Yes,686,Yes,France,Semiurban,Married,Male,25,1,0,No,2,No,Yes,0,3459,0," 16,459 ",0,Loan Approved,1,424
135,LP001487,15712543,Chinweike,Manager,Graduate,No,789,Yes,Germany,Semiurban,Not Married,Male,39,7,124828.46,Yes,2,Yes,Yes,0,4895,0," 1,24,411 ",0,Loan Approved,1,926
136,LP001488,15584518,Arthur,Manager,Graduate,No,589,Yes,Germany,Semiurban,Married,Female,50,5,144895.05,Yes,2,Yes,Yes,3+,4000,7750," 34,941 ",0,Not Approved,1,434
137,LP001489,15802381,Li,Manager,Graduate,No,461,Yes,Germany,Rural,Married,Female,34,5,63663.93,No,Yes,No,Yes,0,4583,0," 1,67,784 ",0,Not Approved,1,370
138,LP001491,15610156,Ma,Manager,Graduate,Yes,637,Yes,France,Urban,Divorced,Male,40,2,133463.1,No,Yes,No,Yes,2,3316,3500," 93,165 ",0,Loan Approved,1,211
139,LP001492,15594408,Chia,VP,Graduate,No,584,No,Spain,Semiurban,Not Married,Female,48,2,213146.2,Yes,Yes,Yes,No,0,14999,0," 75,161 ",1,Not Approved,1,775
